
mbgsvcd v4.2.28 copyright Meinberg 2010-2024

2025-07-29 17:36:06 PC cycles counter frequency: 2900000000 Hz
2025-07-29 17:36:06 Found 1 device usable for the NTP daemon.
2025-07-29 17:36:06 Query-only mode, not updating SHM.
2025-07-29 17:36:06 GNS181PEX: Is synchronized
GNS181PEX: 2025-07-29 17:36:49.5634040 1753810609.563404083 1753810609.563383818 +0.000020027, ltcy: 0.20 us, exec: 0.49 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:50.5636436 1753810610.563643694 1753810610.563625336 +0.000018120, ltcy: 0.20 us, exec: 0.48 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:51.5639137 1753810611.563913822 1753810611.563897133 +0.000016451, ltcy: 0.18 us, exec: 0.30 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:52.5641961 1753810612.564196110 1753810612.564180613 +0.000015259, ltcy: 0.19 us, exec: 0.29 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:53.5644448 1753810613.564444780 1753810613.564428806 +0.000015736, ltcy: 0.19 us, exec: 0.30 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:54.5646871 1753810614.564687252 1753810614.564671516 +0.000015497, ltcy: 0.19 us, exec: 0.29 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:55.5649511 1753810615.564951181 1753810615.564936638 +0.000014305, ltcy: 0.18 us, exec: 0.35 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:56.5652186 1753810616.565218687 1753810616.565206051 +0.000012398, ltcy: 0.18 us, exec: 0.28 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:57.5654080 1753810617.565407991 1753810617.565396309 +0.000011444, ltcy: 0.17 us, exec: 0.44 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:58.5656866 1753810618.565686703 1753810618.565676212 +0.000010252, ltcy: 0.20 us, exec: 0.31 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:36:59.5659606 1753810619.565960646 1753810619.565951347 +0.000009060, ltcy: 0.21 us, exec: 0.53 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:00.5662798 1753810620.566279888 1753810620.566271782 +0.000007868, ltcy: 0.19 us, exec: 0.34 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:01.5664627 1753810621.566462755 1753810621.566454887 +0.000007629, ltcy: 0.18 us, exec: 0.29 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:02.5667346 1753810622.566734791 1753810622.566727161 +0.000007391, ltcy: 0.23 us, exec: 0.41 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:03.5670471 1753810623.567047119 1753810623.567041159 +0.000005722, ltcy: 0.17 us, exec: 0.30 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:04.5672736 1753810624.567273617 1753810624.567268610 +0.000004768, ltcy: 0.21 us, exec: 0.48 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:05.5675360 1753810625.567536116 1753810625.567533255 +0.000002623, ltcy: 0.15 us, exec: 0.21 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:06.5677466 1753810626.567746639 1753810626.567744255 +0.000002146, ltcy: 0.20 us, exec: 0.30 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:07.5680241 1753810627.568024158 1753810627.568021059 +0.000002861, ltcy: 0.19 us, exec: 0.29 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:08.5682730 1753810628.568273067 1753810628.568269491 +0.000003338, ltcy: 0.23 us, exec: 0.34 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:09.5685720 1753810629.568572044 1753810629.568568707 +0.000003099, ltcy: 0.19 us, exec: 0.31 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:10.5688633 1753810630.568863392 1753810630.568858862 +0.000004292, ltcy: 0.23 us, exec: 0.27 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:11.5691614 1753810631.569161415 1753810631.569156408 +0.000004768, ltcy: 0.19 us, exec: 0.31 us, limit: 0.36 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:12.5693705 1753810632.569370508 1753810632.569366217 +0.000004053, ltcy: 0.18 us, exec: 0.30 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:13.5696570 1753810633.569657087 1753810633.569653273 +0.000003576, ltcy: 0.21 us, exec: 0.29 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:14.5698724 1753810634.569872379 1753810634.569869041 +0.000003099, ltcy: 0.20 us, exec: 0.47 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:15.5701334 1753810635.570133448 1753810635.570130587 +0.000002623, ltcy: 0.20 us, exec: 0.29 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:16.5704537 1753810636.570453644 1753810636.570451021 +0.000002384, ltcy: 0.26 us, exec: 0.28 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:17.5715827 1753810637.571582794 1753810637.571580887 +0.000001669, ltcy: 0.16 us, exec: 0.30 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:18.5718464 1753810638.571846485 1753810638.571844578 +0.000001669, ltcy: 0.18 us, exec: 0.31 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:19.5721038 1753810639.572103977 1753810639.572102308 +0.000001431, ltcy: 0.19 us, exec: 0.30 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:20.5723648 1753810640.572364807 1753810640.572362661 +0.000001907, ltcy: 0.19 us, exec: 0.30 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:21.5726106 1753810641.572610617 1753810641.572607756 +0.000002623, ltcy: 0.20 us, exec: 0.51 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:22.5730510 1753810642.573050976 1753810642.573047638 +0.000003099, ltcy: 0.22 us, exec: 0.22 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00, retries: 1 <<
GNS181PEX: 2025-07-29 17:37:23.5733396 1753810643.573339701 1753810643.573335648 +0.000003815, ltcy: 0.20 us, exec: 0.30 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:24.5735573 1753810644.573557377 1753810644.573553801 +0.000003338, ltcy: 0.17 us, exec: 0.26 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:25.5737973 1753810645.573797464 1753810645.573794365 +0.000002861, ltcy: 0.16 us, exec: 0.35 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:26.5740041 1753810646.574004173 1753810646.574002743 +0.000001192, ltcy: 0.19 us, exec: 0.31 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:27.5742147 1753810647.574214697 1753810647.574213982 +0.000000477, ltcy: 0.19 us, exec: 0.30 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:28.5748838 1753810648.574883938 1753810648.574883223 +0.000000477, ltcy: 0.20 us, exec: 0.16 us, limit: 0.39 us, st: 0x0014, NTP leap: 0x00, retries: 2 <<
GNS181PEX: 2025-07-29 17:37:29.5751440 1753810649.575144053 1753810649.575142860 +0.000000954, ltcy: 0.19 us, exec: 0.49 us, limit: 0.39 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:30.5754285 1753810650.575428486 1753810650.575427771 +0.000000477, ltcy: 0.18 us, exec: 0.33 us, limit: 0.39 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:31.5756911 1753810651.575691223 1753810651.575690269 +0.000000715, ltcy: 0.18 us, exec: 0.30 us, limit: 0.39 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:32.5759350 1753810652.575935125 1753810652.575933456 +0.000001431, ltcy: 0.19 us, exec: 0.30 us, limit: 0.39 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:33.5761922 1753810653.576192141 1753810653.576188564 +0.000003338, ltcy: 0.20 us, exec: 0.36 us, limit: 0.38 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:34.5764110 1753810654.576411009 1753810654.576406717 +0.000004053, ltcy: 0.19 us, exec: 0.30 us, limit: 0.39 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:35.5766923 1753810655.576692343 1753810655.576687098 +0.000005007, ltcy: 0.19 us, exec: 0.48 us, limit: 0.39 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:36.5769113 1753810656.576911449 1753810656.576905966 +0.000005245, ltcy: 0.18 us, exec: 0.30 us, limit: 0.39 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:37.5771561 1753810657.577156067 1753810657.577151537 +0.000004053, ltcy: 0.50 us, exec: 0.65 us, limit: 0.40 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:38.5774325 1753810658.577432632 1753810658.577429056 +0.000003338, ltcy: 0.19 us, exec: 0.32 us, limit: 0.40 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:37:39.5776875 1753810659.577687502 1753810659.577684641 +0.000002623, ltcy: 0.18 us, exec: 0.28 us, limit: 0.40 us, st: 0x0014, NTP leap: 0x00
