
mbgsvcd v4.2.28 copyright Meinberg 2010-2024

2025-07-29 17:42:32 PC cycles counter frequency: 2900000000 Hz
2025-07-29 17:42:32 Found 1 device usable for the NTP daemon.
2025-07-29 17:42:32 Query-only mode, not updating SHM.
2025-07-29 17:42:32 GNS181PEX: Is synchronized
GNS181PEX: 2025-07-29 17:43:30.0347919 1753811010.034791946 1753811010.034793139 -0.000001192, ltcy: 0.05 us, exec: 0.14 us, limit: 0.11 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:31.0349076 1753811011.034907579 1753811011.034912586 -0.000005007, ltcy: 0.04 us, exec: 0.11 us, limit: 0.11 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:32.0350628 1753811012.035062790 1753811012.035068274 -0.000005484, ltcy: 0.04 us, exec: 0.08 us, limit: 0.11 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:33.0351716 1753811013.035171747 1753811013.035174847 -0.000003099, ltcy: 0.04 us, exec: 0.09 us, limit: 0.11 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:34.0353172 1753811014.035317183 1753811014.035318613 -0.000001431, ltcy: 0.04 us, exec: 0.06 us, limit: 0.10 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:35.0359143 1753811015.035914421 1753811015.035914898 -0.000000715, ltcy: 0.13 us, exec: 0.14 us, limit: 0.11 us, st: 0x0014, NTP leap: 0x00, retries: 2 <<
GNS181PEX: 2025-07-29 17:43:36.0365467 1753811016.036546707 1753811016.036542654 +0.000003815, ltcy: 0.17 us, exec: 0.26 us, limit: 0.13 us, st: 0x0014, NTP leap: 0x00, retries: 3 * <<
GNS181PEX: 2025-07-29 17:43:37.0373960 1753811017.037395954 1753811017.037389755 +0.000005960, ltcy: 0.13 us, exec: 0.21 us, limit: 0.14 us, st: 0x0014, NTP leap: 0x00, retries: 2 <<
GNS181PEX: 2025-07-29 17:43:38.0380414 1753811018.038041353 1753811018.038036108 +0.000005007, ltcy: 0.17 us, exec: 0.25 us, limit: 0.17 us, st: 0x0014, NTP leap: 0x00, retries: 2 <<
GNS181PEX: 2025-07-29 17:43:39.0384945 1753811019.038494587 1753811019.038490295 +0.000004053, ltcy: 0.26 us, exec: 0.24 us, limit: 0.18 us, st: 0x0014, NTP leap: 0x00, retries: 1 <<
GNS181PEX: 2025-07-29 17:43:40.0387627 1753811020.038762808 1753811020.038758278 +0.000004292, ltcy: 0.20 us, exec: 0.30 us, limit: 0.19 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:41.0391776 1753811021.039177656 1753811021.039172888 +0.000004530, ltcy: 0.13 us, exec: 0.13 us, limit: 0.20 us, st: 0x0014, NTP leap: 0x00, retries: 1 <<
GNS181PEX: 2025-07-29 17:43:42.0394642 1753811022.039464235 1753811022.039460182 +0.000003815, ltcy: 0.18 us, exec: 0.33 us, limit: 0.21 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:43.0399092 1753811023.039909124 1753811023.039907932 +0.000000954, ltcy: 0.12 us, exec: 0.16 us, limit: 0.22 us, st: 0x0014, NTP leap: 0x00, retries: 1 <<
GNS181PEX: 2025-07-29 17:43:44.0401715 1753811024.040171623 1753811024.040169716 +0.000001669, ltcy: 0.19 us, exec: 0.32 us, limit: 0.23 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:45.0405743 1753811025.040574312 1753811025.040573359 +0.000000715, ltcy: 0.15 us, exec: 0.26 us, limit: 0.25 us, st: 0x0014, NTP leap: 0x00, retries: 1 <<
GNS181PEX: 2025-07-29 17:43:46.0408445 1753811026.040844440 1753811026.040840864 +0.000003338, ltcy: 0.19 us, exec: 0.31 us, limit: 0.26 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:47.0410740 1753811027.041074038 1753811027.041067839 +0.000005960, ltcy: 0.22 us, exec: 0.44 us, limit: 0.27 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:43:48.0413321 1753811028.041332245 1753811028.041323900 +0.000008106, ltcy: 0.20 us, exec: 0.32 us, limit: 0.28 us, st: 0x0014, NTP leap: 0x00
