
mbgsvcd v4.2.28 copyright Meinberg 2010-2024

2025-07-09 14:43:34 PC cycles counter frequency: 2900000000 Hz
2025-07-09 14:43:34 Found 1 device usable for the NTP daemon.
2025-07-09 14:43:34 Query-only mode, not updating SHM.
2025-07-09 14:43:34 GNS181PEX: Is synchronized
GNS181PEX: 2025-07-09 14:44:18.1623897 1752072258.162389755 1752072258.162474871 -0.000085354, ltcy: 0.18 us, exec: 0.31 us, limit: 0.31 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:19.1626344 1752072259.162634373 1752072259.162722349 -0.000088215, ltcy: 0.18 us, exec: 0.33 us, limit: 0.31 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:20.1629186 1752072260.162918568 1752072260.163008451 -0.000090122, ltcy: 0.19 us, exec: 0.32 us, limit: 0.31 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:21.1631690 1752072261.163169146 1752072261.163268566 -0.000099659, ltcy: 0.19 us, exec: 0.29 us, limit: 0.31 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:22.1634012 1752072262.163401127 1752072262.163505077 -0.000104189, ltcy: 0.16 us, exec: 0.31 us, limit: 0.31 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:23.1636372 1752072263.163637161 1752072263.163746834 -0.000109911, ltcy: 0.18 us, exec: 0.32 us, limit: 0.31 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:24.1639085 1752072264.163908482 1752072264.164024353 -0.000116110, ltcy: 0.18 us, exec: 0.32 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:25.1641402 1752072265.164140224 1752072265.164259911 -0.000119925, ltcy: 0.18 us, exec: 0.33 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:26.1643728 1752072266.164372921 1752072266.164508581 -0.000135899, ltcy: 0.18 us, exec: 0.40 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:27.1646019 1752072267.164602041 1752072267.164749384 -0.000147581, ltcy: 0.18 us, exec: 0.33 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:28.1648744 1752072268.164874315 1752072268.165020466 -0.000146389, ltcy: 0.19 us, exec: 0.32 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:29.1651163 1752072269.165116310 1752072269.165267706 -0.000151634, ltcy: 0.16 us, exec: 0.51 us, limit: 0.35 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:30.1653621 1752072270.165362120 1752072270.165514946 -0.000153065, ltcy: 0.17 us, exec: 0.31 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:31.1656077 1752072271.165607691 1752072271.165766239 -0.000158787, ltcy: 0.17 us, exec: 0.32 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:44:32.1658841 1752072272.165884256 1752072272.166048050 -0.000164032, ltcy: 0.18 us, exec: 0.33 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
